city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,"Skiby, Stogi, Gdańsk",799900.0,61.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-9-61m2-mzn2046408664,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvMS9ncmE2MzcwOV9tc18yMzYxMDY3N18xLmpwZyN2PTFfMzgyNzAyOTA4MA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-61-m.jpg,2025,Pierwotny,C.O. miejskie,3,1,0,0,1,1,0,1,0,0,,
Gdańsk,"Generała Władysława Andersa, Jasień, Gdańsk",1148859.0,71.0,4,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-gen-wladyslawa-andersa-71m2-mzn2046280110,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzEyMDMyX3dpenVhbGl6YWNqYTQuanBnI3Y9MTc1OTkxMzg0NA==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-alfa-park-gdansk-71-m.jpg,2026,Pierwotny,-1,5,0,0,0,0,0,0,0,0,0,18.54751825,54.35114783
Gdańsk,"Skiby, Stogi, Gdańsk",689000.0,44.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-44m2-mzn2046470196,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvMS9ncmE2MzcwOV9tc18yMzYxMDY3OF8xMC5qcGcjdj0xXzM4NTc3NzU5OTI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-44-m.jpg,2025,Pierwotny,C.O. miejskie,3,0,0,0,1,1,0,1,0,0,,
Gdańsk,"Zakole, Stogi, Gdańsk",516900.0,32.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-32m2-mzn2042749997,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvZC9ncmE2MzcwOV9tc18yMzYxMDY1M18xMS5qcGcjdj0xXzM3NDE2NzMzMTA=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-32-m.jpg,2025,Pierwotny,C.O. miejskie,3,1,0,0,1,1,1,1,0,0,,
Gdańsk,"Skiby, Stogi, Gdańsk",799900.0,61.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-9-61m2-mzn2046408664,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvMS9ncmE2MzcwOV9tc18yMzYxMDY3N18xLmpwZyN2PTFfMzgyNzAyOTA4MA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-61-m.jpg,2025,Pierwotny,C.O. miejskie,3,1,0,0,1,1,0,1,0,0,,
Gdańsk,"Letnicka, Letnica, Gdańsk",1684375.0,96.0,4,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-letnicka-3-96m2-mzn2045704038,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExODMzX3dpenVhbGl6YWNqYTIuanBnI3Y9MTc2MjMzNTc5OQ==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-porto-ijk-gdansk-96-m.jpg,2027,Pierwotny,-1,5,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Myśliwskie Wzgórze, Migowo, Gdańsk",749000.0,66.0,4,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-mysliwskie-wzgorze-66m2-mzn2046434909,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdmFsbmllci84L3ZhbG5pZXJfbXNfTk9WLU1TLTEyOV8xLmpwZyN2PTFfMzg1OTczODAwNA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-piecki-migowo-66-m.jpg,2012,Wtórny,C.O. miejskie,4,1,1,1,1,0,0,0,0,0,,
Gdańsk,"Zielona, Śródmieście, Gdańsk",899000.0,60.0,3,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-zielona-60m2-mzn2046286501,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS82L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0MTg2NjUzXzEuanBnI3Y9MV8zODYwNTczMjc2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-60-m.jpg,-1,Wtórny,-1,3,0,1,0,0,0,0,0,0,0,,
Gdańsk,"Kamienna Grobla, Śródmieście, Gdańsk",529000.0,37.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-kamienna-grobla-37m2-mzn2046567700,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS84L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ1MDIyNjU3XzEuanBnI3Y9MV8zODU5NzMyMDI2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-37-m.jpg,-1,Wtórny,-1,8,0,1,0,0,0,0,0,0,0,,
Gdańsk,"Ferdynanda Magellana, Piecki-Migowo, Gdańsk",955000.0,64.0,3,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-ferdynanda-magellana-64m2-mzn2046551036,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9lL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0OTgwNzIzXzEuanBnI3Y9MV8zODU2MzkzNTI3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-64-m.jpg,-1,Wtórny,-1,6,0,0,1,0,1,0,0,0,0,,
Gdańsk,"Ignacego Matuszewskiego, Wrzeszcz Górny, Gdańsk",1499000.0,76.0,4,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-ignacego-matuszewskiego-76m2-mzn2046577749,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9kL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ1MDQ3OTY1XzEuanBnI3Y9MV8zODYxNjE0Njgx/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-76-m.jpg,-1,Wtórny,-1,4,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Franciszka Rakoczego, Piecki-Migowo, Gdańsk",1124009.0,79.0,4,10.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-franciszka-rakoczego-79m2-mzn2044334162,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvaG9zc2EvYy9ob3NzYV9tc19DUCUyNTJGUjclMjUyRjEwM180LmpwZyN2PTFfMzg0ODM5MTk3Mw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-centralpark-gdansk-79-m.jpg,2027,Pierwotny,-1,17,0,0,0,0,0,0,0,0,1,,
Gdańsk,"Franciszka Rakoczego, Piecki-Migowo, Gdańsk",1159224.0,85.0,4,9.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-franciszka-rakoczego-85m2-mzn2044478789,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvaG9zc2EvOC9ob3NzYV9tc19DUCUyNTJGUjclMjUyRjkxXzMuanBnI3Y9MV8zODQ4MzkxOTU3/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-centralpark-gdansk-85-m.jpg,2027,Pierwotny,-1,17,0,0,0,0,0,0,0,0,1,,
Gdańsk,"Stępkarska, Śródmieście, Gdańsk",2258280.0,83.0,4,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-83m2-mzn2045713067,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExODM4X3dpenVhbGl6YWNqYTYuanBnI3Y9MTc2MjMzNzg3Ng==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-nowa-walowa-gdansk-83-m.jpg,2027,Pierwotny,-1,7,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Stępkarska, Śródmieście, Gdańsk",2765340.0,102.0,4,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-102m2-mzn2045894473,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExODM4X3dpenVhbGl6YWNqYTEuanBnI3Y9MTc2MjMzNzg3Ng==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-nowa-walowa-gdansk-102-m.jpg,2027,Pierwotny,-1,7,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Przytulna, Jasień, Gdańsk",1149000.0,86.0,4,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-przytulna-86m2-mzn2046468211,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9lL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0NzM3Mjg1XzEuanBnI3Y9MV8zODU2MzkyMjYy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-86-m.jpg,-1,Wtórny,-1,7,0,0,0,1,0,0,0,0,0,,
