city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,coords
Gdańsk,Myśliwska,730000,51 m²,2 pokoje,piętro 1/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-mysliwska-51m2-mzn2045852885,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm44OTMwLzAvYm44OTMwX21zX0dIOTYxNTMyXzEuanBnI3Y9MV8zNzQzNTkyNzg4/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-piecki-migowo-51-m.jpg,2012,"54.35089,18.55848"
Gdańsk,Jagiellońska,730000,104 m²,4 pokoje,piętro 12/12,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-jagiellonska-104m2-mzn2045828904,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzEyNTM4MS8xL28xMjUzODFfbXNfODAwJTI1MkY5NzMzJTI1MkZPTVNfMS5qcGcjdj0xXzM3NDI3Mzc0MTg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-104-m.jpg,2024,"54.41429739,18.59711981"
Gdańsk,Słoneczna Dolina,2850000,52 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-sloneczna-dolina-52m2-mzn2045696614,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvYS90eXN6a2lld19tc19UWTI1NjI0OV8xLmpwZyN2PTFfMzc1MjY5Mjc4OQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-siedlce-52-m.jpg,2002,"54.3435009,18.5887656"
Gdańsk,Teofila Lenartowicza,2850000,43 m²,2 pokoje,piętro 4/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przerobka-teofila-lenartowicza-43m2-mzn2045919541,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvYy90eXN6a2lld19tc19UWTYzMDY3Nl8xLmpwZyN2PTFfMzc1MTU4MDk0Nw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przerobka-43-m.jpg,1960,"54.3579849,18.6873929"
Gdańsk,Kornela Makuszyńskiego,699000,64 m²,3 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-kornela-makuszynskiego-64m2-mzn2045838307,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvMi90eXN6a2lld19tc19UWTE3NjI0M18xLmpwZyN2PTFfMzc0NjIyNDA1Ng==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-64-m.jpg,1981,"54.3807997,18.582499"
Gdańsk,Tadeusza Kościuszki,699000,61 m²,3 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-tadeusza-kosciuszki-61m2-mzn2045836663,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvYy90eXN6a2lld19tc19UWTc3MDk0NV8xLmpwZyN2PTFfMzc0NjQ2NTEzOQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-61-m.jpg,1930,"54.3873594,18.6095948"
Gdańsk,Tysiąclecia,429000,56 m²,3 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-tysiaclecia-56m2-mzn2045761211,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvZi90eXN6a2lld19tc19UWTUyNjkzMV8xLmpwZyN2PTFfMzc0MDAyNTgzMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-56-m.jpg,1976,"54.4184037,18.5936029"
Gdańsk,Myśliwska,429000,50 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-mysliwska-50m2-mzn2045648236,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvYS90eXN6a2lld19tc19UWTgxNTA1MV8xLmpwZyN2PTFfMzc0NjY1MjI3Mw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-piecki-migowo-50-m.jpg,2009,"54.347883,18.559078"
Gdańsk,Dąbrówki,775000,54 m²,2 pokoje,piętro 2/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-chelm-dabrowki-54m2-mzn2045916157,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3LzgvZ21nNDYwODQ3X21zXzY3MDE1OF8xLmpwZyN2PTFfMzc1MjI5NDAyOQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-chelm-54-m.jpg,2020,"54.3399034,18.6192124"
Gdańsk,ul. Jaśkowa Dolina,775000,86 m²,4 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-jaskowa-dolina-86m2-mzn2043202805,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzkwMTRfd2l6dWFsaXphY2phMS5qcGcjdj0xNzUwNDE4ODA2/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-villa-jaskowa-dolina-gdansk-86-m.jpg,2024,"54.36519919,18.5883288"
Gdańsk,Zakole,670000,61 m²,3 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-61m2-mzn2044292832,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvMC9ncmE2MzcwOV9tc18yMzYxMDY2Nl8xNi5qcGcjdj0xXzM3NDE2NzMxODk=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-61-m.jpg,2025,"54.3622,18.7087"
Gdańsk,Stogi,670000,44 m²,2 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-zakole7-44m2-mzn2044735025,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ3JhNjM3MDkvNy9ncmE2MzcwOV9tc18yMzYxMDY2OF84LmpwZyN2PTFfMzczOTM3NDA5OA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-stogi-44-m.jpg,2025,"54.3623,18.7092"
Gdańsk,Kryształowa,750000,90 m²,4 pokoje,piętro 2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-krysztalowa-90m2-mzn2043538165,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvY2htYXJhL2YvY2htYXJhX21zX01pZXN6a2FuaWVfMS5qcGcjdj0xXzMyMTE1MDUzNDQ=/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-domm-90m2-z-ogrodem-gdansk-90-m.jpg,2025,"54.3133,18.5991"
Gdańsk,ul. Wielkopolska,750000,44 m²,2 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-wielkopolska-44m2-mzn2044874490,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzkzNzlfd2l6dWFsaXphY2phNC5qcGcjdj0xNzU0MDUyNDE0/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-quercus-gdansk-44-m.jpg,2025,"54.3111909,18.58993292"
Gdańsk,Wałowa,698000,22 m²,1 pokój,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-walowa-22m2-mzn2044722576,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdGVrdG9uY2FwaS8yL3Rla3RvbmNhcGlfbXNfVEM5MDgwNjdfMS5qcGcjdj0xXzM3NDMzNDUzNDM=/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-22-m.jpg,1920,"54.35893,18.65059"
