street,price_pln,size_m2,rooms,floor,detail_url,year_built,coords
Śródmieście,298000,26 m²,1 pokój,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-26m2-mzn2045844742,2025,"54.351678,18.65574"
Jelitkowska,298000,54 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-jelitkowska-54m2-mzn2045117363,2011,"54.4265689,18.5920591"
Kartuska,1950000,56 m²,3 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-kartuska-56m2-mzn2045635333,2023,"54.34537,18.53446"
ul. Wielkopolska,1950000,31 m²,1 pokój,piętro 3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-wielkopolska-31m2-mzn2044874494,2025,"54.3111909,18.58993292"
ul. Wielkopolska,570000,40 m²,2 pokoje,piętro 3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-wielkopolska-40m2-mzn2045093820,2025,"54.3111909,18.58993292"
Sucha,570000,65 m²,3 pokoje,piętro 12/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-sucha-65m2-mzn2045752802,2020,"54.39606,18.64307"
ul. Jaśkowa Dolina,401000,86 m²,4 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-jaskowa-dolina-86m2-mzn2043202805,2024,"54.36519919,18.5883288"
Kryształowa,401000,90 m²,4 pokoje,piętro 2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-krysztalowa-90m2-mzn2043538165,2025,"54.3133,18.5991"
Czarny Dwór,1249000,84 m²,3 pokoje,piętro 1/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-czarny-dwor-84m2-mzn2045270497,2013,"54.4073959,18.6144883"
Stogi,1249000,44 m²,2 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-zakole7-44m2-mzn2044735025,2025,"54.3623,18.7092"
Zakole,499000,32 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-32m2-mzn2042749997,2025,"54.3622,18.7087"
Lawendowe Wzgórze,499000,55 m²,3 pokoje,piętro 3/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-lawendowe-wzgorze-55m2-mzn2045851558,2022,"54.32659,18.56149"
Henryka Hubertusa Jabłońskiego,1799000,49 m²,2 pokoje,piętro 2/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-chelm-henryka-hubertusa-jablonskiego-49m2-mzn2045864890,1990,"54.3349438,18.6262579"
